sku,legacy_sku,name,kind,genus,category,size,tier,planned,price,pack,needs_image,needs_culture,needs_price,needs_tier,needs_category,needs_size,mixed_combo_review,gap_count
S27-0358,AN06CLC008,"6.5"" COLOCASIA TEA CUP",straight,Colocasia,,"6.5""",,210,9.2,6,1,1,,1,1,,,4
S27-0359,AN06CLC009,"6.5"" COLOCASIA WAIKIKI",straight,Colocasia,,"6.5""",,210,9.3,6,1,1,,1,1,,,4
S27-0169,AN06CLD001,"6.5"" CALADIUM CAROLYN WHARTON",straight,Caladium,,"6.5""",,200,7.86,6,1,1,,1,1,,,4
S27-0174,AN06CLD004,"6.5"" CALADIUM FREIDA HEMPLE",straight,Caladium,,"6.5""",,200,9.89,6,1,1,,1,1,,,4
S27-0177,AN06CLD007,"6.5"" CALADIUM PINK CLOUD",straight,Caladium,,"6.5""",,200,8.72,6,1,1,,1,1,,,4
S27-0181,AN06CLD005,"6.5"" CALADIUM WHITE CHRISTMAS",straight,Caladium,,"6.5""",,200,9.61,6,1,1,,1,1,,,4
S27-0182,AN06CLD006,"6.5"" CALADIUM WHITE QUEEN",straight,Caladium,,"6.5""",,200,9.39,6,1,1,,1,1,,,4
S27-0287,AN06CLM001,"6.5"" CLEOME LAVENDER DREAMS",straight,Cleome,,"6.5""",,200,32.09,6,1,1,,1,1,,,4
S27-0424,,"8"" DAHLIA VENTI PASSION FRUIT",straight,Dahlia,color_annuals,hb,,200,,1,1,1,1,1,,,,4
S27-0426,,"8"" DAHLIA VENTI PINKBURST",straight,Dahlia,color_annuals,hb,,200,,1,1,1,1,1,,,,4
S27-0499,AN08FGER006,"POT 8"" DYNAMO HOT PINK",straight,Geranium,color_annuals,,,200,9.79,1,1,1,,1,,1,,4
S27-0501,AN08FGER007,"POT 8"" DYNAMO LIGHT PINK",straight,Geranium,color_annuals,,,200,10.98,1,1,1,,1,,1,,4
S27-0503,AN08FGER008,"POT 8"" DYNAMO ORANGE",straight,Geranium,color_annuals,,,200,11.01,1,1,1,,1,,1,,4
S27-0507,AN08FGER010,"POT 8"" DYNAMO SALMON",straight,Geranium,color_annuals,,,200,9.84,1,1,1,,1,,1,,4
S27-0509,AN08FGER011,"POT 8"" DYNAMO VIOLET",straight,Geranium,color_annuals,,,200,11.03,1,1,1,,1,,1,,4
S27-0511,AN08FGER012,"POT 8"" DYNAMO WHITE",straight,Geranium,color_annuals,,,200,10.93,1,1,1,,1,,1,,4
S27-0172,AN06CLD003,"6.5"" CALADIUM FLORIDA BEAUTY",straight,Caladium,,"6.5""",,199,8.6,6,1,1,,1,1,,,4
S27-0446,,"4.5"" EUPHORBIA STARDUST SUPERFLASH",straight,Euphorbia,,"4.5""",,190,32.24,10,1,1,,1,1,,,4
S27-0893,AN04SUN013,"4.5"" SUNPATIENS COMPACT BLUSH PINK",straight,Sunpatiens,,"4.5""",,190,32.98,10,1,1,,1,1,,,4
S27-0902,,"4.5"" SUNPATIENS COMPACT LAVENDER SPLASH",straight,Sunpatiens,,"4.5""",,190,32.98,10,1,1,,1,1,,,4
S27-0914,AN04SUN016,"4.5"" SUNPATIENS COMPACT PURPLE",straight,Sunpatiens,,"4.5""",,190,33.07,10,1,1,,1,1,,,4
S27-0917,,"4.5"" SUNPATIENS COMPACT ROSE GLOW",straight,Sunpatiens,,"4.5""",,190,33.02,10,1,1,,1,1,,,4
S27-0502,,FIBER LG. GERANIUM DYNAMO ORANGE,straight,Geranium,color_annuals,,,186,20.14,1,1,1,,1,,1,,4
S27-0744,AN07MBPAN005,MARKET BASKET MATRIX CLEAR MIX,straight,Pansy,color_annuals,,,180,7.89,1,1,1,,1,,1,,4
S27-0745,AN07MBPAN004,MARKET BASKET MATRIX BLOTCH MIX,straight,Pansy,color_annuals,,,180,7.87,1,1,1,,1,,1,,4
S27-0750,AN07MBPAN001,MARKET BASKET MATRIX DAFFODIL MIX,straight,Pansy,color_annuals,,,180,7.87,1,1,1,,1,,1,,4
S27-0898,AN04SUN004,"4.5"" SUNPATIENS COMPACT HOT CORAL",straight,Sunpatiens,,"4.5""",,180,32.97,10,1,1,,1,1,,,4
S27-0381,AN06CRA001,"6.5"" CRASPEDIA SOLAR POP",straight,Craspedia,,"6.5""",,162,33.89,6,1,1,,1,1,,,4
S27-0476,AN08FGER001,"POT 8"" CALLIOPE CRIMSON FLAME",straight,Geranium,color_annuals,,,160,9.13,1,1,1,,1,,1,,4
